uni_lemma,weighted_votes
airplane,3.3822144063992656
animal,3.3822144063992656
ant,3.3822144063992656
banana,3.3822144063992656
bib,3.3822144063992656
black,3.3822144063992656
blue,3.3822144063992656
broom,3.3822144063992656
candy,3.3822144063992656
cat,3.3822144063992656
child's own name,3.3822144063992656
cockadoodledoo,3.3822144063992656
coffee,3.3822144063992656
cold,3.3822144063992656
cry,3.3822144063992656
daddy,3.3822144063992656
dance,3.3822144063992656
dirty,3.3822144063992656
doctor,3.3822144063992656
dress (object),3.3822144063992656
eat,3.3822144063992656
fall,3.3822144063992656
garage,3.3822144063992656
glasses,3.3822144063992656
green,3.3822144063992656
hammer,3.3822144063992656
helicopter,3.3822144063992656
help,3.3822144063992656
horse,3.3822144063992656
hot,3.3822144063992656
lion,3.3822144063992656
meow,3.3822144063992656
milk,3.3822144063992656
moon,3.3822144063992656
mouth,3.3822144063992656
nose,3.3822144063992656
now,3.3822144063992656
police,3.3822144063992656
radio,3.3822144063992656
red,3.3822144063992656
school,3.3822144063992656
sing,3.3822144063992656
spoon,3.3822144063992656
tomorrow,3.3822144063992656
tongue,3.3822144063992656
tooth,3.3822144063992656
toothbrush,3.3822144063992656
washing machine,3.3822144063992656
what,3.3822144063992656
white,3.3822144063992656
yellow,3.3822144063992656
yes,3.3822144063992656
yogurt,3.3822144063992656
TV,2.5410704802632385
baa baa,2.5410704802632385
bee,2.5410704802632385
bicycle,2.5410704802632385
button,2.5410704802632385
chin,2.5410704802632385
cow,2.5410704802632385
dog,2.5410704802632385
elephant,2.5410704802632385
eye,2.5410704802632385
key,2.5410704802632385
mommy,2.5410704802632385
monkey,2.5410704802632385
owl,2.5410704802632385
sheep,2.5410704802632385
shh,2.5410704802632385
telephone,2.5410704802632385
tiger,2.5410704802632385
today,2.5410704802632385
truck,2.5410704802632385
turtle,2.5410704802632385
vroom,2.5410704802632385
wolf,2.5410704802632385
blow,2.5408153941422436
but,2.5408153941422436
jump,2.5408153941422436
push,2.5408153941422436
sit,2.5408153941422436
cloud,2.5262702300684854
star,2.5262702300684854
sun,2.5262702300684854
grandpa,1.6996714680062168
heavy,1.6996714680062168
quack quack,1.6996714680062168
wait,1.6996714680062168
why,1.6996714680062168
woof woof,1.6996714680062168
yesterday,1.6996714680062168
2SG,1.697088102466807
2SG.POSS,1.697088102466807
3SG,1.697088102466807
because,1.697088102466807
penguin,1.6851263039324584
squirrel,1.6851263039324584
balloon,1.6848712178114638
salt,1.6848712178114638
slipper,1.6848712178114638
work (action),1.6848712178114638
camera,1.6825429383930488
crocodile,1.6825429383930488
hide,1.6825429383930488
tickle,1.6825429383930488
under,1.6825429383930488
zebra,1.6825429383930488
1SG,0.8559441763307801
and,0.8559441763307801
how,0.8559441763307801
that,0.8559441763307801
this,0.8559441763307801
when (question),0.8559441763307801
where (question),0.8559441763307801
who,0.8559441763307801
cheek,0.8437272916754367
couch,0.8437272916754367
motorcycle,0.8437272916754367
belt,0.8413990122570217
catch,0.8413990122570217
choo choo,0.8413990122570217
donkey,0.8413990122570217
firetruck,0.8413990122570217
fly (animal),0.8413990122570217
hungry,0.8413990122570217
lip,0.8413990122570217
ouch,0.8413990122570217
stick,0.8413990122570217
stroller,0.8413990122570217
thirsty,0.8413990122570217
yum yum,0.8413990122570217
1PL,0.841143926136027
attic,0.841143926136027
bathroom,0.841143926136027
bite,0.841143926136027
bring,0.841143926136027
butter,0.841143926136027
cot,0.841143926136027
diaper,0.841143926136027
dining room,0.841143926136027
draw,0.841143926136027
drink (action),0.841143926136027
go,0.841143926136027
hear,0.841143926136027
high,0.841143926136027
in,0.841143926136027
juice,0.841143926136027
kick,0.841143926136027
necklace,0.841143926136027
paper,0.841143926136027
peas,0.841143926136027
put,0.841143926136027
run,0.841143926136027
same,0.841143926136027
tablecloth,0.841143926136027
zoo,0.841143926136027
