Semantic category,$n$,S-CDI items
Actions,11,"blow, cry, dance, eat, fall, help, jump, push, sing, sit, wait"
Animals,15,"animal, ant, bee, cat, cow, dog, elephant, horse, lion, monkey, owl, sheep, tiger, turtle, wolf"
Body parts,6,"chin, eye, mouth, nose, tongue, tooth"
Clothing,3,"bib, button, dress"
Connectives,2,"and, but"
Descriptives,10,"black, blue, cold, dirty, green, heavy, hot, red, white, yellow"
Food & drink,5,"banana, candy, coffee, milk, yogurt"
Furniture & rooms,3,"garage, TV, washing machine"
Games & routines,2,"shh, yes"
Helping verbs,0 _(1)_,_try_
Household,8,"broom, glasses, hammer, key, radio, spoon, telephone, toothbrush"
Locations,0 _(3)_,"_in, out, under_"
Outside & places,2,"moon, school"
People,5,"child's own name, daddy, doctor, mommy, police"
Pronouns,6,"1SG (I), 2SG (you), 2SG.POSS (your), 3SG (he/she/it), that, this"
Quantifiers,0 _(4)_,"_a lot, all, many, not_"
Question words,6,"how, what, when, where, who, why"
Sounds,6,"baa baa, cockadoodledoo, meow, quack quack, vroom, woof woof"
Time words,4,"now, today, tomorrow, yesterday"
Toys,0 _(2)_,"_glue, toy_"
Vehicles,4,"airplane, bicycle, helicopter, truck"
