WS,WG,category,definition,gloss,uni_lemma,sho
item_1,item_36,sounds,aïe,ouch,ouch,aïe
item_2,item_37,sounds,allo,hello,hello,allô
item_3,item_38,sounds,bêê bêê,baa baa,baa baa,bêe bêe
item_4,item_39,sounds,cocorico,cockadoodledoo,cockadoodledoo,cocorico
item_5,item_40,sounds,coin coin,quack quack,quack quack,coin-coin
item_6,item_41,sounds,grrrr,grrr,grrr,grrrr
item_7,item_42,sounds,meuh,moo,moo,meuh
item_8,item_43,sounds,miam miam,yum yum,yum yum,miam-miam
item_9,item_44,sounds,miaou,meow,meow,miaou
item_10,item_45,sounds,oh oh,uh oh,uh oh,ohoh
item_11,item_46,sounds,ouaf ouaf,woof woof,woof woof,ouaf-ouaf
item_12,item_47,sounds,tchou tchou,choo choo,choo choo,tchou tchou
item_13,item_48,sounds,vroum,vroom,vroom,vroum
item_14,item_49,games_routines,ainsi font font,??,,ainsi font font
item_15,item_51,games_routines,au revoir,bye,bye,au revoir
item_16,item_52,games_routines,bain,bath,bath,bain
item_17,item_53,games_routines,bonjour,hi,hi,bonjour
item_18,item_54,games_routines,bonne nuit,good night,good night,bonne nuit
item_19,item_55,games_routines,bravo,bravo,bravo,bravo
item_20,item_605,games_routines,ce petit cochon,??,this little piggy,ce petit cochon
item_21,item_56,games_routines,chut,shh,shh,chut
item_22,item_57,games_routines,coucou,peekaboo,peekaboo,coucou
item_23,item_600,games_routines,coup de fil,phone call,,coup de fil
item_24,item_58,games_routines,déjeuner,lunch,lunch,déjeuner
item_25,item_59,games_routines,dîner,dinner,dinner,dîner
item_26,,games_routines,faire les courses,go shopping,shopping,
item_27,item_599,games_routines,goûter,taste,taste,goûter
item_28,item_602,games_routines,je vais t'attraper,I will catch you,,je vais t'attraper
item_29,item_60,games_routines,merci,thank you,thank you,merci
item_30,item_61,games_routines,ne fais pas,don’t do,don't,ne fais pas
item_31,item_62,games_routines,non,no,no,non
item_32,item_63,games_routines,oui,yes,yes,oui
item_33,item_64,games_routines,petit déjeuner,breakfast,breakfast,petit déjeuner
item_34,item_65,games_routines,s'il te plait,please,please,s'il te plaît
item_35,item_66,games_routines,salut,hi,hi,salut
item_36,item_67,games_routines,sieste,nap,nap,sieste
item_37,item_601,games_routines,top là,,,top là
item_38,item_604,games_routines,tourne-toi,turn around,,tourne-toi
item_39,item_603,games_routines,va sur le pot,,,va sur le pot
item_40,item_315,vehicles,avion,airplane,airplane,avion
item_41,item_519,vehicles,bateau,boat,boat,bateau
item_42,item_316,vehicles,bus,bus,bus,bus
item_43,item_317,vehicles,camion,truck,truck,camion
item_44,item_318,vehicles,camion de pompier,firetruck,firetruck,camion de pompier
item_45,item_520,vehicles,hélicoptère,helicopter,helicopter,hélicoptère
item_46,item_319,vehicles,moto,motorcycle,motorcycle,moto
item_47,item_320,vehicles,poussette,stroller,stroller,poussette
item_48,item_522,vehicles,tracteur,tractor,tractor,tracteur
item_49,item_321,vehicles,train,train,train,train
item_50,,vehicles,traineau,sled,sled,
item_51,item_523,vehicles,tricycle,tricycle,tricycle,tricycle
item_52,item_322,vehicles,vélo,bicycle,bicycle,vélo
item_53,item_323,vehicles,voiture,car,car,voiture
item_54,item_69,animals,abeille,bee,bee,abeille
item_55,item_70,animals,agneau,lamb,lamb,agneau
item_56,item_71,animals,âne,donkey,donkey,âne
item_57,item_72,animals,animal,animal,animal,animal
item_58,item_73,animals,bébé chat,kitty,kitty,bébé chat
item_59,item_74,animals,bébé chien,puppy,puppy,bébé chien
item_60,item_75,animals,biche,deer,deer,biche
item_61,item_76,animals,canard,duck,duck,canard
item_62,item_77,animals,chat,cat,cat,chat
item_63,item_78,animals,cheval,horse,horse,cheval
item_64,item_79,animals,chèvre,goat,goat,chèvre
item_65,item_80,animals,chien,dog,dog,chien
item_66,item_81,animals,cochon,pig,pig,cochon
item_67,item_538,animals,coq,rooster,rooster,coq
item_68,item_535,animals,crocodile,crocodile,crocodile,crocodile
item_69,item_82,animals,dindon,turkey,turkey,dindon
item_70,item_83,animals,écureuil,squirrel,squirrel,écureuil
item_71,item_84,animals,éléphant,elephant,elephant,éléphant
item_72,item_536,animals,fourmi,ant,ant,fourmi
item_73,item_85,animals,girafe,giraffe,giraffe,girafe
item_74,item_86,animals,grenouille,frog,frog,grenouille
item_75,item_87,animals,hibou,owl,owl,hibou
item_76,item_88,animals,lapin,bunny,bunny,lapin
item_77,item_89,animals,lion,lion,lion,lion
item_78,item_539,animals,loup,wolf,wolf,loup
item_79,item_90,animals,mouton,sheep,sheep,mouton
item_80,item_91,animals,nounours,teddybear,teddybear,nounours
item_81,item_92,animals,oie,goose,goose,oie
item_82,item_93,animals,oiseau,bird,bird,oiseau
item_83,item_94,animals,ours,bear,bear,ours
item_84,item_95,animals,papillon,butterfly,butterfly,papillon
item_85,item_96,animals,petite bête,(??),,petite bête
item_86,item_97,animals,pingouin,penguin,penguin,pingouin
item_87,item_98,animals,poisson,fish (animal),fish (animal),poisson
item_88,item_99,animals,poney,pony,pony,poney
item_89,item_100,animals,poule,chicken (animal),chicken (animal),poule
item_90,item_537,animals,renne,reindeer,reindeer,renne
item_91,item_101,animals,singe,monkey,monkey,singe
item_92,item_102,animals,souris,mouse,mouse,souris
item_93,item_103,animals,tigre,tiger,tiger,tigre
item_94,item_104,animals,tortue,turtle,turtle,tortue
item_95,item_105,animals,vache,cow,cow,vache
item_96,item_540,animals,zèbre,zebra,zebra,zèbre
item_97,item_140,toys,balle,ball,ball,balle
item_98,item_141,toys,ballon,ball,ball,ballon
item_99,item_142,toys,bulles,bubbles,bubbles,bulles
item_100,item_531,toys,cadeau,present,present,cadeau
item_101,item_529,toys,colle,glue,glue (object),colle
item_102,item_527,toys,craie,chalk,chalk,craie
item_103,item_143,toys,crayon,pen/pencil,pen/pencil,crayon
item_104,item_144,toys,cube,cube,blocks,cube
item_105,item_534,toys,feutre,felt,,feutre
item_106,item_533,toys,histoire,story,story,histoire
item_107,item_528,toys,jeu,game,game,jeu
item_108,item_525,toys,jouet,toy (object),toy (object),jouet
item_109,item_145,toys,livre,book,book,livre
item_110,item_530,toys,pâte à modeler,modeling clay,clay,pâte à modeler
item_111,item_146,toys,poupée,doll,doll,poupée
item_112,item_532,toys,puzzle,puzzle,puzzle,puzzle
item_113,item_526,toys,raquette,racket,bat (object),raquette
item_114,item_524,toys,stylo,pen/pencil,pen/pencil,stylo
item_115,item_188,clothing,basket,trainers,sneaker,basket
