WS,category,definition,gloss,uni_lemma
item_1,sounds,ahah,ahah,
item_2,sounds,baabaa,baa baa,baa baa
item_3,sounds,bowwow,bow wow,woof woof
item_4,sounds,choochoo,choo choo,choo choo
item_5,sounds,cockadoodledoo,cockadoodledoo,cockadoodledoo
item_6,sounds,grr,grr,grrr
item_7,sounds,meow,meow,meow
item_8,sounds,moo,moo,moo
item_9,sounds,ouch,ouch,ouch
item_10,sounds,quackquack,quack quack,quack quack
item_11,sounds,uhoh,uhoh,uh oh
item_12,sounds,vroom,vroom,vroom
item_13,sounds,yumyum,yum yum,yum yum
item_15,animals,animal,animal,animal
item_17,animals,donkey,donkey,donkey
item_19,animals,bee,bee,bee
item_22,animals,cow,cow,cow
item_24,animals,ladybird,ladybird,ladybug
item_26,animals,sheep,sheep,sheep
item_28,animals,pony,pony,pony
item_30,animals,horse,horse,horse
item_33,animals,hen,hen,hen
item_35,animals,cock,cock,rooster
item_37,animals,puppy,puppy,puppy
item_39,animals,rabbit,rabbit,rabbit
item_41,animals,fly,fly,fly (animal)
item_43,animals,spider,spider,spider
item_45,animals,swan,swan,swan
item_47,animals,bird,bird,bird
item_50,animals,seagull,seagull,seagull
item_52,animals,butterfly,butterfly,butterfly
item_54,animals,deer,deer,deer
item_57,animals,goat,goat,goat
item_59,animals,goose,goose,goose
item_61,animals,fish,fish,fish (animal)
item_63,animals,duck,duck,duck
item_65,animals,calf,calf,calf (animal)
item_67,animals,lion,lion,lion
item_69,animals,mouse,mouse,mouse
item_71,animals,wolf,wolf,wolf
item_73,animals,fox,fox,fox
item_75,animals,dog,dog,dog
item_78,animals,pig,pig,pig
item_80,animals,snake,snake,snake
item_82,animals,penguin,penguin,penguin
item_84,animals,kitten_apussycat,kitten,kitten
item_86,animals,crow,crow,crow
item_88,animals,zebra,zebra,zebra
item_90,animals,snail,snail,snail
item_92,animals,chicken,chicken,chicken (animal)
item_94,animals,giraffe,giraffe,giraffe
item_96,animals,robin,robin,robin
item_99,animals,tiger,tiger,tiger
item_102,animals,lamb,lamb,lamb
item_104,vehicles,boat,boat,boat
item_107,vehicles,car,car,car
item_109,vehicles,aeroplane,aeroplane,airplane
item_111,vehicles,motorbike,motorbike,motorcycle
item_112,vehicles,héileacaptar_helicopter,helicopter,helicopter
item_115,vehicles,lorry,lorry,truck
item_116,vehicles,ship,ship,boat
item_118,vehicles,ambulance,ambulance,ambulance
item_121,vehicles,bike_bicycle,bike,bicycle
item_123,vehicles,tractor,tractor,tractor
item_125,vehicles,digger,digger,digger
item_127,vehicles,truck_trucail,truck,truck
item_130,toys,doll,doll,doll
item_133,toys,blocks,blocks,block
item_135,toys,bubbles,bubbles,bubbles
item_137,toys,toy,toy,toy (object)
item_139,toys,present,present,present
item_141,toys,hurley,hurley,
item_143,toys,game,game,game
item_144,toys,crayon_crián,crayon,crayon
item_147,toys,drum,drum,drum (object)
item_148,toys,gliú_glue_ie,glue,glue (object)
item_150,toys,gun,gun,gun
item_152,toys,book,book,book
item_154,toys,(foot)ball,(foot)ball,ball
item_156,toys,jigsaw,jigsaw,puzzle
item_158,toys,pen,pen,pen
item_160,toys,pencil,pencil,pencil
item_162,toys,story,story,story
item_165,food_drink,soup,soup,soup
item_167,food_drink,bread,bread,bread
item_169,food_drink,bacon,bacon,bacon
item_171,food_drink,milk,milk,milk
item_174,food_drink,food,food,food
item_176,food_drink,muffin,muffin,muffin
item_179,food_drink,biscuit,biscuit,biscuit
item_181,food_drink,cabbage,cabbage,cabbage
item_183,food_drink,cake,cake,cake
item_186,food_drink,carrot_carrots,carrot,carrot
item_188,food_drink,cheese,cheese,cheese
item_190,food_drink,cornflakes,cornflakes,cereal
item_192,food_drink,grapes,grapes,grapes
item_194,food_drink,sandwich,sandwich,sandwich
item_196,food_drink,chickennuggets,chicken nuggets,nugget
item_198,food_drink,nuts,nuts,nut
item_201,food_drink,crisps_Taytos,crisps,chips
item_202,food_drink,cucumber_cúcamar,cucumber,cucumber
item_204,food_drink,drink,drink,drink (beverage)
item_206,food_drink,donut_ie,donut,donut
