WS,WG,category,definition,gloss,uni_lemma
item_1,item_34,sounds,あーあっ (よくないこと)  ,Oh_no,uh oh
item_2,item_35,sounds,アイタ (いたい),Ouch,ouch
item_3,item_36,sounds,オイチィ (おいしい),Yummy ,yummy
item_4,item_37,sounds,ガーガー (アヒル),Quack_quack,quack quack
item_5,item_38,sounds,ガオー (ライオン),Roar,roar
item_6,item_39,sounds,こけこっこ (にわとり),Cock_a_doodle_doo,cockadoodledoo
item_7,item_40,sounds,シュッポッポー (汽車),Choo-choo,choo choo
item_8,item_41,sounds,ニャンニャン (ネコ),Meow,meow
item_9,item_42,sounds,ブーブー (車),Broom_broom,vroom
item_10,item_43,sounds,メーメー (ヤギ),Baa_baa,baa baa
item_11,item_44,sounds,モー (牛),Moo,moo
item_12,item_45,sounds,ワンワン (犬),Bowwow,woof woof
item_13,item_46,animals,アヒル,Duck,duck
item_14,item_47,animals,アリ,Ant,ant
item_15,item_48,animals,犬,Dog,dog
item_16,item_49,animals,うさぎ,Rabbit,rabbit
item_17,item_50,animals,牛,Cow,cow
item_18,item_51,animals,うま,Horse,horse
item_19,,animals,えび,Shrimp,shrimp
item_20,,animals,おおかみ,Wolf,wolf
item_21,item_52,animals,カエル,Frog,frog
item_22,item_53,animals,かに,Crab,crab
item_23,item_54,animals,カバ,Hippopotamus,hippopotamus
item_24,item_55,animals,かめ,Turtle,turtle
item_25,item_56,animals,カラス,Crow,crow
item_26,,animals,きつね,Fox,fox
item_27,item_57,animals,きりん,Giraffe ,giraffe
item_28,,animals,くじら,Whale,whale
item_29,item_58,animals,くま,Bear,bear
item_30,item_59,animals,コアラ,Koala,koala
item_31,,animals,ゴリラ,Gorilla,gorilla
item_32,item_60,animals,さかな,Fish,fish (animal)
item_33,item_61,animals,さる,Monkey,monkey
item_34,item_62,animals,しまうま,Zebra,zebra
item_35,item_63,animals,ぞう,Elephant,elephant
item_36,,animals,たぬき,Raccoon,
item_37,item_64,animals,チョウチョ,Butterfly,butterfly
item_38,item_65,animals,どうぶつ,Animal,animal
item_39,item_66,animals,トラ,Tiger,tiger
item_40,item_67,animals,とり,Bird,bird
item_41,item_68,animals,にわとり,Chicken,chicken
item_42,item_69,animals,ねこ,Cat,cat
item_43,item_70,animals,ねずみ,Mouse,mouse
item_44,item_71,animals,はち,Bee,bee
item_45,item_72,animals,はと,Pigeon,pigeon
item_46,item_73,animals,パンダ,Panda,panda
item_47,,animals,ひつじ,Sheep,sheep
item_48,item_74,animals,ひよこ,Chick,chick
item_49,item_75,animals,ぶた,Pig,pig
item_50,item_76,animals,へび,Snake,snake
item_51,item_77,animals,ペンギン,Penguin,penguin
item_52,item_78,animals,虫,Insect,bug
item_53,item_79,animals,ライオン,Lion,lion
item_54,item_80,animals,リス,Squirrel,squirrel
item_55,item_81,animals,ワニ,Crocodile,crocodile
item_56,item_82,vehicles,汽車,Locomotive,car
item_57,item_83,vehicles,車 (自動車),Car,car
item_58,,vehicles,三輪車,Tricycle,tricycle
item_59,item_84,vehicles,自転車,Bicycle,bicycle
item_60,,vehicles,消防車,Fire_engine,firetruck
item_61,,vehicles,ダンプカー,Dump_truck,
item_62,item_85,vehicles,電車,Train,train
item_63,item_86,vehicles,トラック,Truck,truck
item_64,,vehicles,バイク,Motorcycle,motorcycle
item_65,item_87,vehicles,バス,Bus,bus
item_66,item_88,vehicles,パトカー,Police_car,police car
item_67,item_89,vehicles,飛行機,Airplane,airplane
