WS,WG,category,definition,gloss,uni_lemma
item_1,,sounds,اخ-وای,ouch,ouch
item_2,,sounds,اه-اخ,ouch,ouch
item_3,,sounds,صداي اژير (ب، بو),ring (alarm),
item_4,,sounds,صداي اسب,neigh,neigh
item_5,,sounds,صداي اردك,quack,quack quack
item_6,,sounds,صدای تفنگ (بنگ،بنگ),bang (gun),bang bang
item_7,,sounds,صداي جوجه ( جيك،جيك),chirp (chicken),
item_8,,sounds,صداي خروس ( قوقولي قوقو),cockadoodledoo,cockadoodledoo
item_9,,sounds,صداي سگ (هاپ،هاپ),woof woof,woof woof
item_10,,sounds,صداي قطار (هو هو چي چي),choo choo,choo choo
item_11,,sounds,صداي كلاغ ( قار قار),caw caw (crow),caw
item_12,,sounds,صداي گربه ( ميو ميو),meow meow,meow
item_13,,sounds,صداي گوسفند (بع بع),baa baa,baa baa
item_14,,sounds,صداي ماشين (ام/بيب، بيب),honk,honk honk
item_15,,sounds,صدای موتور,vroom,vroom
item_16,item_82,vehicles,اتوبوس,bus,bus
item_17,,vehicles,تراکتور,tractor,tractor
item_18,,vehicles,دوچرخه (چرخ),bicycle,bicycle
item_19,,vehicles,سهچرخه,tricycle,
item_20,,vehicles,قایق,boat,boat
item_21,item_84,vehicles,قطار,train,train
item_22,item_85,vehicles,کامیون,truck,truck
item_23,item_87,vehicles,ماشین,car,car
item_24,item_88,vehicles,موتور,motorcycle,motorcycle
item_25,,vehicles,مینی بوس,minibus,bus
item_26,item_89,vehicles,هلی کوپتر,helicopter,helicopter
item_27,item_90,vehicles,هواپیما,airplane,airplane
item_28,,vehicles,کشتی,ship,boat
item_29,,food_drink,اب,water,water (beverage)
item_30,,food_drink,ابگوشت,broth,soup
item_31,,food_drink,اب میوه) ساندیس),juice,juice
item_32,,food_drink,اب نبات,candy,candy
item_33,,food_drink,اجیل,nuts,nut
item_34,,food_drink,ادامس,gum,gum
item_35,item_102,food_drink,آش,soup,soup
item_36,,food_drink,البالو,sour cherry,cherry
item_37,,food_drink,انار,pomegranate,pomegranate
item_38,,food_drink,انگور,grape,grapes
item_39,,food_drink,بادام,almond,
item_40,,food_drink,برنج,rice,rice
item_41,item_105,food_drink,بستنی,ice cream,ice cream
item_42,,food_drink,بلال,roasted corn,corn
item_43,item_104,food_drink,بیسکویت,biscuits,cookie
item_44,item_108,food_drink,پرتقال,orange,orange (food)
item_45,,food_drink,پسته,pistachio,
item_46,item_106,food_drink,پفک,cheetos,
item_47,,food_drink,پلو,rice,rice
item_48,item_107,food_drink,پنیر,cheese,cheese
item_49,,food_drink,پیاز,onion,onion
item_50,,food_drink,پیتزا,pizza,pizza
item_51,item_109,food_drink,تخم مرغ,egg,egg
item_52,,food_drink,تن ماهی,tuna,fish (food)
item_53,,food_drink,توت,mulberry,berry
item_54,item_110,food_drink,چای,tea,tea
item_55,,food_drink,چوب شور,pretzel,pretzel
item_56,,food_drink,چیپس,chips,chips
item_57,,food_drink,خربزه,melon,
item_58,,food_drink,خورش,stew,
item_59,,food_drink,خیار,cucumber,cucumber
item_60,,food_drink,رب,tomato paste,
item_61,,food_drink,دوغ,doogh (yogurt drink),yogurt drink
item_62,,food_drink,ساندویچ,sandwich,sandwich
item_63,,food_drink,سبزی,vegetables,vegetable
item_64,,food_drink,سس,sauce,sauce
item_65,item_111,food_drink,سوپ,soup,soup
item_66,,food_drink,سوسیس,sausage,sausage
item_67,item_112,food_drink,سیب,apple,apple
item_68,,food_drink,سیب زمینی,potato,potato
item_69,item_113,food_drink,شربت,syrup,
item_70,,food_drink,شکلات,chocolate,chocolate
item_71,,food_drink,شیر (خوراکی),milk,milk
item_72,item_115,food_drink,شیرینی,sweets,candy
item_73,item_116,food_drink,غذا,food,food
item_74,,food_drink,فلفل,pepper,pepper
item_75,,food_drink,فندق,hazelnut,
item_76,,food_drink,قارچ,mushrooms,mushroom
item_77,item_117,food_drink,قند,sugar,sugar
item_78,,food_drink,کاکائو,cocoa,cocoa
item_79,,food_drink,کالباس,bologna,
item_80,,food_drink,کره,butter,butter
item_81,,food_drink,کباب,barbecue,
item_82,,food_drink,کشمش,raisins,raisin
item_83,item_118,food_drink,کیک,cake,cake
item_84,,food_drink,کیوی,kiwi,kiwi
item_85,item_119,food_drink,گردو,walnut,
item_86,item_120,food_drink,گوشت,meat,meat
item_87,,food_drink,گوجه,tomato,tomato
item_88,,food_drink,گیلاس,cherries,cherry
item_89,,food_drink,لوبیا,beans,beans
item_90,,food_drink,لیمو,lemon,lemon
item_91,,food_drink,ماست,yogurt,yogurt
item_92,item_122,food_drink,ماکارونی,macaroni,pasta
item_93,item_123,food_drink,مربا,jam,jam
item_94,item_124,food_drink,موز,banana,banana
item_95,item_125,food_drink,میوه,fruit,fruit
item_96,item_126,food_drink,نان,bread,bread
item_97,,food_drink,نارنگی,mandarin,orange (food)
item_98,item_127,food_drink,نوشابه,soda,soda
item_99,,food_drink,نخودچی,chickpeas,
item_100,,food_drink,نمک,salt,salt
item_101,,food_drink,هلو,peach,peach
item_102,,food_drink,همبرگر,hamburgers,hamburger
item_103,,food_drink,هندوانه,watermelon,watermelon
item_104,,food_drink,یخ,ice,ice
item_105,item_91,toys,اسباب بازی,toy,toy (object)
item_106,,toys,بادبادک,kite,kite
item_107,item_92,toys,بادکنک,balloons,balloon
item_108,,toys,پازل,puzzle,puzzle
item_109,item_241,toys,تاب,swing,swing (object)
item_110,,toys,تخته,board,
item_111,item_94,toys,توپ,ball,ball
item_112,,toys,چسب,glue,glue (object)
item_113,,toys,خط کش,ruler,ruler
item_114,,toys,خمیر,play dough,play dough
item_115,,toys,خودکار,pen/pencil,pen/pencil
item_116,,toys,دفتر,note book,notebook
item_117,,toys,سوت,whistle,whistle (object)
item_118,item_96,toys,عروسک,dolls,doll
item_119,,toys,شیپور,trumpet,trumpet
item_120,,toys,طناب,rope,rope
item_121,item_97,toys,کتاب,book,book
item_122,,toys,کتاب داستان,story book,book
item_123,,toys,لگو,lego,blocks
item_124,,toys,ماژیک,marker,
item_125,,toys,مداد,pencil,pen/pencil
item_126,,toys,مداد رنگی,crayons,crayon
item_127,,toys,مشق,homework,
item_128,,toys,نقاشی,painting,painting
item_129,item_46,animals,آهو,gazelle,
item_130,item_47,animals,اسب,horse,horse
item_131,,animals,اردک,duck,duck
item_132,item_48,animals,الاغ,donkey,donkey
item_133,,animals,ببر,tiger,tiger
item_134,item_49,animals,بره,lamb,lamb
item_135,,animals,بز,goat,goat
item_136,,animals,بلبل,nightingale,
item_137,,animals,پرنده,bird,bird
item_138,item_50,animals,پروانه,butterfly,butterfly
item_139,,animals,پشه,mosquito,mosquito
item_140,,animals,پلنگ,leopard,leopard
item_141,item_53,animals,جوجه,chicken,chicken (animal)
item_142,,animals,حیوان,animal,animal
item_143,,animals,خر,donkey,donkey
item_144,,animals,خرچنگ,crab,crab
item_145,item_55,animals,خرس,bear,bear
item_146,item_56,animals,خرگوش,rabbit,bunny
item_147,item_57,animals,خروس,rooster,rooster
item_148,item_58,animals,روباه,fox,fox
item_149,item_59,animals,زرافه,giraffe,giraffe
item_150,item_60,animals,زنبور,bee,bee
item_151,item_61,animals,سگ,dog,dog
item_152,item_62,animals,سنجاب,squirrel,squirrel
item_153,,animals,سوسک,cockroach,cockroach
item_154,item_63,animals,شتر,camel,camel
item_155,,animals,طوطی,parrot,parrot
item_156,,animals,عقاب,eagle,eagle
