WS,category,definition,gloss,uni_lemma
item_129,people,inimene,person,person
item_130,people,isa,daddy,daddy
item_131,people,kasvataja,educator,
item_132,people,kloun,clown,clown
item_133,people,laps,child,child
item_134,people,lapse_enda_nimi,child's own name,child's own name
item_135,people,mees,man,man
item_136,people,naine,woman,woman
item_137,people,onu,uncle,uncle
item_138,people,poiss,boy,boy
item_139,people,politseinik,police officer,police
item_140,people,sõber,friend,friend
item_141,people,tita,baby,baby
item_142,people,tädi,aunt,aunt
item_143,people,tüdruk,girl,girl
item_144,people,vanaema,grandmother,grandma
item_145,people,vanaisa,grandfather,grandpa
item_146,people,vend,brother,brother
item_147,people,õde,sister,sister
item_148,people,õpetaja,teacher,teacher
item_149,food_drink,apelsin,orange,orange
item_150,food_drink,arbuus,watermelon,watermelon
item_151,food_drink,banaan,banana,banana
item_152,food_drink,hamburger,hamburger,hamburger
item_153,food_drink,herned,peas,peas
item_154,food_drink,jogurt,yogurt,yogurt
item_155,food_drink,jook,drink (beverage),drink (beverage)
item_156,food_drink,juust,cheese,cheese
item_157,food_drink,jäätis,ice cream,ice cream
item_158,food_drink,kala0,fish (food),fish (food)
item_159,food_drink,kana0,chicken (food),chicken (food)
item_160,food_drink,kartul,potato,potato
item_161,food_drink,kaste,sauce,sauce
item_162,food_drink,kissel,dessert cream,
item_163,food_drink,kirss,cherry,cherry
item_164,food_drink,kohuke,curd dessert,
item_165,food_drink,kohv,coffee,coffee
item_166,food_drink,komm,candy,candy
item_167,food_drink,kook,pie,pie
item_168,food_drink,kotlet,cutlet,cutlet
item_169,food_drink,kreem,cream,cream
item_170,food_drink,krõpsud,chips,chips
item_171,food_drink,kurk,cucumber,cucumber
item_172,food_drink,küpsis,cookie,cookie
item_173,food_drink,leib,black bread,bread
item_174,food_drink,liha,meat,meat
item_175,food_drink,limonaad,lemonade,lemonade
item_176,food_drink,lutipudel,bottle,bottle
item_177,food_drink,maasikad,strawberries,strawberry
item_178,food_drink,mahl,juice,juice
item_179,food_drink,maisihelbed,cornflakes,cereal
item_180,food_drink,makaronid,pasta,pasta
item_181,food_drink,marjad,berries,berry
item_182,food_drink,moos,jam,jam
item_183,food_drink,morss,berry juice,juice
item_184,food_drink,muna,egg,egg
item_185,food_drink,mustikad,blueberries,blueberry
item_186,food_drink,müsli,muesli,cereal
item_187,food_drink,näts,chewing gum,chewing gum
item_188,food_drink,oad,beans,beans
item_189,food_drink,pannkook,pancake,pancake
item_190,food_drink,piim,milk,milk
item_191,food_drink,pirukas,pastry,pastry
item_192,food_drink,pitsa,pizza,pizza
item_193,food_drink,porgand,carrot,carrot
item_194,food_drink,puder,porridge,porridge
item_195,food_drink,puding,pudding,pudding
item_196,food_drink,pähklid,nuts,nut
item_197,food_drink,püree,puree,puree
item_198,food_drink,rinnapiim,breast milk,milk
item_199,food_drink,riis,rice,rice
item_200,food_drink,rosin,raisin,raisin
item_201,food_drink,sai,bread,bread
item_202,food_drink,salat,salad,salad
item_203,food_drink,sepik,whole wheat bread,bread
item_204,food_drink,sool,salt,salt
item_205,food_drink,suhkur,sugar,sugar
item_206,food_drink,supp,soup,soup
item_207,food_drink,söök,food,food
item_208,food_drink,sokolaad,chocolate,chocolate
item_209,food_drink,tee,teacher,teacher
item_210,food_drink,tomat,tomato,tomato
item_211,food_drink,tort,cake,cake
item_212,food_drink,vesi,water (beverage),water (beverage)
item_213,food_drink,viinamarjad,grapes,grapes
item_214,food_drink,vorst,sausage,sausage
item_215,food_drink,või,butter,butter
item_216,food_drink,võileib,sandwich,sandwich
item_217,food_drink,õun,apple,apple
item_218,body_parts,hammas,tooth,tooth
item_219,body_parts,häbe,vagina,vagina
