WS,WG,category,definition,gloss,uni_lemma
item_1,item_3,sounds,ai,oh,oh
item_2,,sounds,ala,,
item_3,item_4,sounds,amunt/aupa,get up,
item_4,,sounds,beee (xai),baa baa,baa baa
item_5,item_5,sounds,brumbrum (cotxe),vroom,vroom
item_6,item_7,sounds,guau-guaua/bup-bup,woof woof,woof woof
item_7,item_8,sounds,miau,meow,meow
item_8,,sounds,muu,moo,moo
item_9,item_10,sounds,oh,oh,oh
item_10,item_11,sounds,piu-piu,beep beep,beep beep
item_11,item_12,sounds,qua-qua,quack quack,quack quack
item_12,,sounds,quiquiriqui,cock-a-doodle-doo,cock-a-doodle-doo
item_13,item_15,animals,abella,bee,bee
item_14,item_17,animals,animal,animal,animal
item_15,item_16,animals,anec,duck,duck
item_16,item_18,animals,aranya,spider,spider
item_17,item_19,animals,bitxo,insect,insect
item_18,item_20,animals,burro/ase,donkey,donkey
item_19,,animals,camell,camel,camel
item_20,,animals,canari,canary,
item_21,,animals,cargol,snail,snail
item_22,item_21,animals,cavall,horse,horse
item_23,,animals,colom,dove,
item_24,item_23,animals,conill,rabbit,bunny
item_25,,animals,cuc/cuca,worm,worm
item_26,,animals,dinosaure,dinosaur,dinosaur
item_27,item_24,animals,dofi,dolphin,dolphin
item_28,item_25,animals,elefant,elephant,elephant
item_29,item_27,animals,formiga,ant,ant
item_30,item_28,animals,gallina,hen,hen
item_31,item_29,animals,gat,cat,cat
item_32,item_30,animals,girafa,giraffe,giraffe
item_33,item_31,animals,gos,dog,dog
item_34,item_32,animals,granota,frog,frog
item_35,,animals,hipopotam,hippopotamus,hippopotamus
item_36,item_33,animals,lleo,lion,lion
item_37,,animals,marieta,ladybug,ladybug
item_38,item_36,animals,mico/mono,monkey,monkey
item_39,item_37,animals,mosca,fly (animal),fly (animal)
item_40,item_38,animals,ocell,bird,bird
item_41,item_39,animals,os,bear,bear
item_42,item_40,animals,ovella/xai,sheep/lamb,sheep
item_43,item_41,animals,papallona,butterfly,butterfly
item_44,item_42,animals,peix,fish (animal),fish (animal)
item_45,item_44,animals,pingui,penguin,penguin
item_46,,animals,pop,,
item_47,item_46,animals,porc,pig,pig
item_48,item_47,animals,rata/ratoli,rat/mouse,mouse
item_49,,animals,sargantana,lizard,lizard
item_50,,animals,serp,snake,snake
item_51,item_48,animals,tigre,tiger,tiger
item_52,,animals,toro,bull,bull
item_53,item_49,animals,tortuga,turtle,turtle
item_54,item_50,animals,vaca,cow,cow
item_55,,animals,zebra,zebra,zebra
item_56,item_51,vehicles,ambulancia,ambulance,ambulance
item_57,,vehicles,autobus/bus,bus,bus
item_58,item_52,vehicles,avio,airplane,airplane
item_59,,vehicles,bicicleta,bicycle,bicycle
item_60,item_53,vehicles,camio,truck,truck
item_61,,vehicles,carro/carreta,cart/carriage,cart
item_62,item_54,vehicles,cotxe,car,car
item_63,,vehicles,grua,crane,crane
item_64,,vehicles,helicopter,helicopter,helicopter
item_65,item_56,vehicles,moto,motorcycle,motorcycle
item_66,,vehicles,patins,skates,skate (object)
item_67,,vehicles,tractor,tractor,tractor
item_68,item_58,vehicles,tren,train,train
item_69,item_59,vehicles,vaixell/barco,ship/boat,boat
item_70,,toys,caixa,box,box
item_71,,toys,cartes (joc),cards,card
item_72,,toys,colors,colors,
item_73,item_60,toys,conte/llibre,story/book,book
