WS,WG,category,definition,gloss,uni_lemma
item_1,item_32,sounds,(صوت الغنمة) باع باع/ ماء ماء/ باء باء,"Sheep sound: baa baa, maa maa",baa baa
item_2,item_38,sounds,(صوت القطة) مياو/ ميوميو,Cat sound: meow meow,meow
item_3,item_44,sounds,(للتعبير عن الرغبة في الأكل) إممم/ هم هم,"To express desire to eat: amm, hm hm",
item_4,item_33,sounds,(صوت السيارة) بيب بيب/ عن عن/ أن أن,"Car sound: beep beep, ann ann",beep beep
item_5,item_39,sounds,(صوت البكاء) واء واء,Crying sound: wa wa,
item_6,,sounds,(صوت الديك) كوكوكو/ أوأوأواو/ كككوو,"Rooster sound: ko ko ko, aw aw aw",cockadoodledoo
item_7,,sounds,(صوت القطار) تشو تشو/ تووت تووت,Train sound: choo choo,choo choo
item_8,,sounds,(صوت البقرة) مووو,Cow sound: moo,moo
item_9,item_45,sounds,(للتعبير عن المفاجأة) واو,To express surprise: wow ,wow
item_10,item_34,sounds,(للتعبير عن الألم) أي/أفو/واوا/ دا/ وا/ أح/ اه,"Sounds used to express pain: aay, afo, wawa, da, wa, ah",ouch
item_11,item_40,sounds,(للتعبير عن طاح) دو,To express something has fallen down: doo,
item_12,item_46,sounds,(للرائحة الكريهة) أفو/ إف,"To express something has a bad smell: aphw, eph",
item_13,item_35,sounds,(صوت العصفور) سَوسَو/ صَوصَو,Bird sound: saw saw,
item_14,item_41,sounds,(صوت المسدس) طع طع/ طخ طخ,"Gunshot sound: ta ta, tak tak",
item_15,item_47,sounds,(للتعبير عن عدم الرغبة/ القرف)  يع/ يخ/ إخ/ إع,"To express refusal and disgust: ya, yakh, akh, e’e",yuck
item_16,item_36,sounds,(للتعبير عن الحرارة)  أح/ أوف,"To describe something hot: ah, of",
item_17,item_42,sounds,(للتعبير عن لذيذ) يمي يمي,To express something is delicious: yummy yummy,yum yum
item_18,item_48,sounds,(صوت الكلب) وو/ هوهو,Dog sound: haw haw,woof woof
item_19,,sounds,(صوت الدباب) فوووم فرووم/ بووم بووم,"Motorcycle sound: voom voom, boom boom",vroom
item_20,item_43,sounds,(للتعبير عن الطفش) ووف/ اوف,"To express boredom: woof, off",
item_21,item_49,sounds,(صوت الديك الرومي) كوكادوودليدوو,Turkey sound: cockadoodledoo ,
item_22,,sounds,(صوت الذئب) قرررررر/ أووو,"Wolf sound: grrrr, awww",grrr
item_23,item_50,sounds,(للتعبير عن الموافقة) آه/ ايوه/ ايه,"To express agreement: ah, ewah, eeh = [yes]",
item_24,,sounds,(صوت الغراب) واق واق,Crow sound: waq waq ,
item_25,item_37,sounds,(صوت الوحش) عووو/ أوو/ هووو,"Monster sound: aww, haw",grrr
item_26,item_51,sounds,(صوت البطة) كواك كواك,Duck sound: quack quack,quack quack
item_27,,sounds,(صوت الذبابة) ززززز,Fly sound: zzzz,
item_28,item_52,animals,خروف,Sheep  ,sheep
item_29,item_61,animals,حمامة,Pigeon  ,pigeon
item_30,item_70,animals,حيوانات,Animals ,animal
item_31,item_53,animals,قطة (بسة/ هره/ بسبوسه),Cat ,cat
item_32,item_62,animals,عنزة (معزة/ غنمة),Goat ,goat
item_33,item_71,animals,(الحصان الصغير) سي سي,Pony ,pony
item_34,,animals,حصان,Horse ,horse
item_35,item_63,animals,سمكة,Fish ,fish (animal)
item_36,,animals,نمر,Tiger ,tiger
item_37,,animals,جمل,Camel ,camel
item_38,,animals,فيل,Elephant ,elephant
item_39,,animals,سلحفاة,Turtle ,turtle
item_40,,animals,كلب,Dog ,dog
