WS,WG,category,definition,gloss,uni_lemma
item_41,,animals,دب (دبدوب),Teddy/ bear ,teddybear
item_42,item_74,animals,ضفدع,Frog ,frog
item_43,,animals,دجاجة,Chicken ,chicken
item_44,,animals,زرافة,Giraffe ,giraffe
item_45,item_69,animals,نملة,Ant,ant
item_46,,animals,فأر,Mouse ,mouse
item_47,,animals,ارنب (ارنوب),Bunny/ rabbit ,bunny
item_48,,animals,فراشة,Butterfly ,butterfly
item_49,,animals,بطة,Duck ,duck
item_50,item_68,animals,قرد,Monkey ,monkey
item_51,item_77,animals,ذبابة (دُبّانة),Fly ,fly (animal)
item_52,item_54,animals,عصفور/ عصفورة,Sparrow ,sparrow
item_53,item_72,animals,صرصور/ صرصار,Cockroach,cockroach
item_54,item_55,animals,بعوضة (ناموسة),Mosquito ,mosquito
item_55,,animals,بومة,Owl ,owl
item_56,,animals,بطريق,Penguin ,penguin
item_57,,animals,دايناصور,Dinosaur ,dinosaur
item_58,,animals,سنجاب,squirrel,squirrel
item_59,,animals,نحلة,Bee  ,bee
item_60,,animals,تمساح,Crocodile ,crocodile
item_61,item_64,animals,غزال,Deer,deer
item_62,item_57,animals,حمار,Donkey  ,donkey
item_63,item_76,animals,وزة,Goose ,goose
item_64,item_73,animals,ديك,Rooster ,rooster
item_65,item_66,animals,بقرة,Cow  ,cow
item_66,item_59,animals,ذئب,Wolf  ,wolf
item_67,item_56,animals,حيوان,Animal ,animal
item_68,item_58,animals,دودة,Worm  ,worm
item_69,item_60,animals,ثور,Bull ,bull
item_70,,animals,تيس,he-goat,goat
item_71,,animals,خنزير,Pig  ,pig
item_72,item_75,animals,نملة,Ant.2,ant
item_73,,animals,صوص,Chick,chick
item_74,,animals,حنطور,Carriage,
item_75,item_582,animals,عنكبوت,Spider   ,spider
item_76,,animals,ديك رومي,Turkey ,turkey
item_77,,animals,وزغة,Gecko ,lizard
item_78,item_583,animals,أسد,Lion ,lion
item_79,,animals,ضب,Lizard ,lizard
item_80,item_67,animals,جرو,Puppy  ,puppy
item_81,item_78,animals,غراب,Crow ,crow
item_82,item_65,animals,طائر/ طير,Bird  ,bird
item_83,,animals,فهد,Leopard ,leopard
item_84,item_79,toys,كرة (كورة),Ball ,ball
item_85,item_87,toys,مشاية,Walker ,walker
item_86,item_95,toys,قلم,Pen ,pen
item_87,,toys,ورق ملون,Colored paper ,paper
item_88,item_88,toys,مقص,Scissors ,scissors
item_89,item_96,toys,كتاب,Book ,book
item_90,item_81,toys,صمغ/ غراء (غرا),Glue ,glue
item_91,item_89,toys,شخصيات كرتونية (يرجى التحديد),Cartoon characters (please specify) ,
item_92,item_97,toys,صلصال (عجينة),Playdough ,play dough
item_93,item_82,toys,بالونة / نفيخة,Balloon,balloon
item_94,item_90,toys,فقاعات الصابون,Bubbles ,bubbles
item_95,,toys,مضرب,Racket,racket
item_96,item_83,toys,مكعبات,Blocks  ,blocks
item_97,item_91,toys,لعبة,Toy ,toy (object)
item_98,item_99,toys,طباشير,Chalks ,chalk
item_99,item_84,toys,الوان (تلاوين),Colors ,colors
item_100,item_92,toys,عروسة,Doll ,doll
item_101,item_100,toys,قلم رصاص,Pencil ,pencil
item_102,item_85,toys,هدية,Gift ,present
item_103,item_93,toys,حكاية/ قصة,Story ,story
item_104,item_101,toys,سكوتر,Scooter ,scooter
item_105,item_86,toys,بلاي ستيشن,Playstation ,
item_106,,toys,قالب,playdough molds?,
item_107,item_103,toys,مصاصة,Pacifier ,pacifier
item_108,item_102,toys,ألعاب,Toys ,toy (object)
item_109,item_94,toys,صندوق ألعاب,Toy box ,
item_110,item_98,toys,جيم بوي,Game boy ,
item_111,item_80,toys,خشخيشة,Rattle ,
item_112,,toys,مساحة,Eraser ,eraser
item_113,,toys,دائرة,Circle ,circle
item_114,item_104,vehicles,سيارة,Car ,car
item_115,,vehicles,وانيت/ ونيت,Pickup truck,truck
item_116,,vehicles,سيارة بوليس,Police car ,police car
item_117,item_105,vehicles,طائرة (طيارة),Airplane ,airplane
item_118,,vehicles,سفينة,Ship ,ship
item_119,,vehicles,سكيت,Skating shoes,skates
item_120,,vehicles,شاحنة ( ترلة),Truck ,truck
item_121,item_110,vehicles,قطار,Train ,train
item_122,item_114,vehicles,هيليوكوبتر,Helicopter ,helicopter
item_123,item_106,vehicles,دراجة (بسكليتة/ سيكل),Bicycle ,bicycle
item_124,item_111,vehicles,دباب (دبابة/ موتور),Motorcycle ,motorcycle
item_125,,vehicles,قارب/زورق/ مركب,Boat ,boat
item_126,,vehicles,عجلة,Wheel,wheel
item_127,item_107,vehicles,إسعاف,Ambulance ,ambulance
item_128,item_113,vehicles,مطافئ/ إطفاء,Fire fighting ,firetruck
item_129,,vehicles,حافلة/ باص/ اتوبيس,Bus ,bus
item_130,item_112,vehicles,عربة أطفال (عربية),Stroller ,stroller
item_131,item_109,vehicles,تاكسي/ تكسي,Taxi ,taxi
item_132,item_108,vehicles,السكوتر,Scooter,scooter
item_133,item_115,food_drink,تمر,Dates ,
item_134,item_130,food_drink,توست,Toast (bread),toast
item_135,item_143,food_drink,سمك,Fish ,fish (food)
item_136,item_116,food_drink,بسكويت/ بسكوت,Biscuits,biscuit
item_137,item_131,food_drink,مخلل (طرشي),Pickles ,pickle
item_138,item_144,food_drink,حليب,Milk ,milk
item_139,item_117,food_drink,حلاوة,Candy ,candy
item_140,item_132,food_drink,سلطة,Salad ,salad
item_141,item_145,food_drink,جيلي,Gello ,jelly
item_142,item_118,food_drink,حلاوة مصاصة,Lollipop ,lollipop
item_143,,food_drink,طماطم,Tomatoes ,tomato
item_144,item_146,food_drink,شوربة,Soup ,soup
item_145,item_119,food_drink,شوكولاتة,Chocolate ,chocolate
item_146,item_134,food_drink,جبن (جبنة),Cheese ,cheese
item_147,item_147,food_drink,فستق,Pistachio,nut
item_148,item_120,food_drink,أكل,Food ,food
item_149,item_135,food_drink,خيار,Cucumber ,cucumber
item_150,item_148,food_drink,لوز,almonds,nut
item_151,item_121,food_drink,أرز (رز),Rice ,rice
item_152,item_136,food_drink,جزر/ جزرة,Carrot ,carrot
item_153,,food_drink,فصفص,Seeds,
item_154,,food_drink,ساندويتش/ سندويتش,Sandwich ,sandwich
item_155,,food_drink,كريم كراميل/ كريمة,Cream caramel/ flan ,
item_156,item_150,food_drink,لبن رائب (شرب),Buttermilk ,
item_157,item_123,food_drink,سكر,Sugar ,sugar
item_158,,food_drink,مربى,Jam ,jam
item_159,,food_drink,طعمية,Falafel ,
item_160,,food_drink,ملح,Salt ,salt
item_161,,food_drink,فشار,Popcorn ,popcorn
item_162,,food_drink,زبيب,Raisins ,raisin
item_163,,food_drink,فلفل,Pepper ,pepper
item_164,item_140,food_drink,حلويات,Candies ,candy
item_165,,food_drink,معمول,Ma'amoul,
item_166,item_126,food_drink,تفاح/ تفاحة,Apple ,apple
item_167,item_141,food_drink,شابورة,Rusk  ,
item_168,,food_drink,مكرونة,Pasta ,pasta
item_169,item_127,food_drink,دواء (دوا),Medicine ,medicine
item_170,item_142,food_drink,هامبورجر,Hamburger ,hamburger
item_171,,food_drink,فراولة,Strawberry,strawberry
item_172,item_157,food_drink,موز/ موزة,Banana ,banana
item_173,item_160,food_drink,بطاطس,Potato,potato
item_174,,food_drink,تونة,Tuna ,tuna
item_175,,food_drink,عنب,Grapes ,grapes
item_176,,food_drink,تشيبس/ تشيبسي,Chips ,chips
item_177,,food_drink,كاتشب,Ketchup  ,ketchup
item_178,item_159,food_drink,حبحب/ بطيخ,Watermelon ,watermelon
item_179,,food_drink,زبدة,Butter ,butter
item_180,item_165,food_drink,عصير,Juice ,juice
item_181,item_129,food_drink,برتقال/ برتقالة,Orange ,orange
item_182,item_162,food_drink,عسل,Honey ,honey
item_183,item_164,food_drink,ماء (مويا/ بو/ امبو),Water ,water (beverage)
item_184,item_161,food_drink,ثلج,Ice ,ice
item_185,item_156,food_drink,زيت,Oil ,oil
item_186,,food_drink,شاي (شاهي),Tea ,tea
item_187,item_128,food_drink,كمثرى,Pears ,pear
item_188,,food_drink,زبدة لوز,Almond butter ,
item_189,,food_drink,قهوة,Coffee ,coffee
item_190,,food_drink,بيتزا,Pizza ,pizza
item_191,item_155,food_drink,خس,Lettuce ,lettuce
item_192,item_158,food_drink,بان كيك,Pancake ,pancake
item_193,,food_drink,رقائق (كورن فليكس),Cornflakes,cereal
item_194,,food_drink,سمبوسك/ سمبوسة,Samosa ,samosa
item_195,item_163,food_drink,يوسفي/ يوسف افندي,Tangerine ,tangerine
item_196,item_153,food_drink,بيض,Eggs ,egg
item_197,item_154,food_drink,دجاج/ توتو,Chicken ,chicken
item_198,item_125,food_drink,بيبسي,Pepsi ,coke
item_199,item_139,food_drink,كيك,Cake ,cake
item_200,,food_drink,لحم,Meat ,meat
item_201,item_152,food_drink,رضاعة,Feeding bottle ,bottle
item_202,item_151,food_drink,ايس كريم,Ice-cream ,ice cream
item_203,,food_drink,ذرة,Corn ,corn
item_204,,food_drink,كوسة,Zucchini ,zucchini
item_205,item_138,food_drink,عيش/ خبز,Bread ,bread
item_206,,food_drink,دونات,Doughnut,donut
item_207,item_124,food_drink,ليمون,Lemon ,lemon
item_208,,food_drink,لبانة,Gum ,gum
item_209,,food_drink,فاصوليا,Beans ,beans
item_210,,food_drink,كرز,Cherry ,cherry
item_211,item_149,food_drink,لبن/ زبادي,Yogurt ,yogurt
item_212,,food_drink,فيتامين,Vitamin,vitamin
item_213,,food_drink,مرقوق,Margoog (traditional dish) ,
item_214,item_122,food_drink,بطاطس مقلية/ بطاطس,Fries ,fries
item_215,item_137,food_drink,فاكهة,Fruit,fruit
item_216,,food_drink,صلصة,Sauce ,sauce
item_217,,food_drink,ملوخية,Mulukhiyah,
item_218,,food_drink,بازاليا/ بازيلاء,Peas,peas
item_219,,food_drink,صامولي,Hot dog buns  ,
item_220,,food_drink,قشطة,Heavy cream ,
item_221,,food_drink,لحوح,Lahooh (traditional dish),
item_222,item_133,food_drink,سيريلاك,Cerelac ,cereal
item_223,item_166,clothing,ثوب,Thoub (Saudi dress for men),
item_224,,clothing,تنورة,Skirt,skirt
item_225,item_181,clothing,قبعة,Cap,cap
item_226,item_167,clothing,فستان,Dress,dress (object)
item_227,,clothing,طرحة,Head scarf,
item_228,item_177,clothing,جاكيت,Coat,coat
item_229,,clothing,بلوزة,Shirt ,shirt
item_230,item_176,clothing,كفية/  طاقية,Taqiyah (head cap),
item_231,item_182,clothing,بيجامة,Pajamas,pajamas
item_232,item_168,clothing,بنطلون,Pants ,pants
item_233,,clothing,غترة,Gutrah (head wear for men usually white in color),
item_234,item_183,clothing,حذاء (جزمة),Shoes ,shoe
item_235,item_169,clothing,مريلة,Apron ,apron
item_236,,clothing,شماغ,Shemagh (head wear for men usually red in color) ,
item_237,item_184,clothing,جورب (شراب),Socks ,sock
item_238,item_170,clothing,فلينة/فنيلة,Undershirt ,undershirt
item_239,,clothing,جاكيت/ بالطو,Coat ,coat
item_240,item_185,clothing,شبشب,Slipper ,slipper
item_241,item_171,clothing,سلسلة/عقد,Necklace ,necklace
item_242,,clothing,ساعة,Clock/ watch?,clock
item_243,item_186,clothing,صندل,Sandal ,sandal
item_244,,clothing,حلق,Earings ,earrings
item_245,,clothing,اسورة,Bracelet ,bracelet
item_246,item_187,clothing,بكلة/ توكة,Hair tie,hair tie
item_247,,clothing,خاتم,Ring ,ring
item_248,item_178,clothing,نظارة (نضارة/ عوينات),Glasses ,glasses
item_249,,clothing,قميص,Shirt ,shirt
item_250,,clothing,حزام,Belt ,belt
item_251,,clothing,قفاز (جونتي),Gloves ,gloves
item_252,item_188,clothing,طوق,Headband (for women) ,headband
item_253,item_172,clothing,كوفلة,Swaddle ,
item_254,item_179,clothing,سحاب (سوستة),Zipper ,zipper
item_255,,clothing,شريطة,Ribbon ,ribbon
item_256,item_173,clothing,بربتوز,Baby bodysuits  ,
item_257,,clothing,عقال,Igal (black headband) ,headband
item_258,,clothing,شورت,Shorts ,shorts
item_259,item_174,clothing,حفائض/ حفاظة (حفاضة/ مبامبز),Diapers ,diaper
item_260,,clothing,زر/زرارر (أزرار),button,button
item_261,item_189,clothing,سروال داخلي (كلسون),Underpants,underpants
item_262,,clothing,جينز,Jeans ,jeans
item_263,item_180,clothing,طربوش,Tarboosh (head wear for men),hat
item_264,item_190,clothing,سروال (سروال طويل),Long sirwal (white pants worn by men under Thoub),pants
item_265,item_175,clothing,عباية,Abaya,
item_266,item_191,body_parts,عين,Eye ,eye
item_267,item_197,body_parts,وجه (وش),Face ,face
item_268,,body_parts,حاجب/ حواجب,Eyebrow ,eyebrow
item_269,item_192,body_parts,فم,Mouth ,mouth
item_270,,body_parts,رقبة,Neck ,neck
item_271,,body_parts,ركبة,Knee ,knee
item_272,item_193,body_parts,انف (خشم/ خيشوم/ نخرة),Nose ,nose
item_273,item_198,body_parts,اصبع/ اصبع  القدم,Toe ,toe
item_274,item_200,body_parts,مؤخرة (حسب مايطلق عليها في البيت),Butt ,butt
item_275,item_194,body_parts,أذن,Ear ,ear
item_276,item_207,body_parts,يد,Hand ,hand
item_277,,body_parts,مرفق (كوع),Elbow ,elbow
item_278,item_203,body_parts,شعر,Hair ,hair
item_279,item_208,body_parts,رجل,Leg  ,leg
item_280,item_201,body_parts,أسنان (سن),Teeth ,tooth
item_281,item_204,body_parts,رأس,Head ,head
item_282,,body_parts,ظهر,Back ,back
item_283,,body_parts,كعب,Heel ,heel
item_284,item_205,body_parts,خد,Cheek ,cheek
item_285,item_209,body_parts,لسان,Tongue ,tongue
item_286,item_202,body_parts,سرة البطن,Belly button ,belly button
item_287,item_206,body_parts,ذقن,Chin ,chin
item_288,,body_parts,قدم,Foot ,foot
item_289,item_211,body_parts,كف,Palm ,palm
item_290,item_195,body_parts,كتف ,Shoulder ,shoulder
item_291,item_210,body_parts,شفاه (شفايف),Lips ,lips
item_292,,body_parts,ساق,Leg ,leg
item_293,,body_parts,فخذ,Thigh ,thigh
item_294,item_199,body_parts,صدر,Chest ,
item_295,item_212,body_parts,جبهة (جبين),Forehead ,forehead
item_296,,body_parts,إظفر (ظفر),Nail ,nail
item_297,,body_parts,ذراع,Arm ,arm
item_298,,body_parts,إبهام,Thumb ,thumb
item_299,item_196,body_parts,إبط (باط),Underarm ,
item_300,,body_parts,رمش/ رموش,Eyelashes ,eyelash
item_301,item_213,body_parts,بطن,Belly ,tummy
item_302,item_214,household,بطانية/ لحاف,Blanket ,blanket
item_303,item_230,household,شوكة,Fork ,fork
item_304,item_246,household,منشفة/ محرمة,Towel ,towel
item_305,item_215,household,سلة,Basket ,basket
item_306,,household,سكينة,Knife ,knife
item_307,,household,كاميرة,Camera ,camera
item_308,item_216,household,سلة قمامة (زبالة/ كدافة),Trash can ,trash can
item_309,item_232,household,كأس (كأسة/ كباية),Glass (to drink),cup
item_310,item_248,household,ضوء/ لمبة (نور),Lamp/ light,lamp
item_311,item_217,household,مخدة (مخدة),Pillow ,pillow
item_312,item_233,household,فرشاة أسنان,Tooth brush ,toothbrush
item_313,,household,معجون اسنان,Toothpaste ,toothpaste
item_314,,household,مجلة,Magazine ,
item_315,,household,شرشف,Sheet ,sheet
item_316,,household,زرعة,Plant ,plant
item_317,item_219,household,فرشاة شعر,Hair brush ,brush (object)
item_318,item_235,household,تلفزيون,Television  ,television
item_319,,household,ابرة,Needle ,needle
item_320,item_220,household,مشط,Comb ,comb (object)
item_321,item_236,household,فيديو,Video ,video
item_322,item_252,household,حقيبة/شنطة,Bag ,bag
item_323,,household,البوم صور,Album (photo),album
item_324,item_237,household,صينية (تيبسي),Tray ,tray
item_325,item_253,household,مكوى,Iron ,iron
item_326,item_221,household,صابون,Soap ,soap
item_327,item_238,household,هاتف/ تلفون,Telephone ,telephone
item_328,,household,غلاية (كفتيرة),Kettle ,kettle
item_329,,household,شريط,Cassette tape ,tape (object)
item_330,item_229,household,نقود (فلوس/ ريال),Money ,money
item_331,,household,فوطة (خرقة/ بشكير),Rag,rag
item_332,,household,مسجل,Recorder ,
item_333,,household,صورة,Photo ,photo
item_334,item_255,household,كبريت,Matches ,matches
item_335,item_222,household,صحن,Plate ,plate
item_336,item_245,household,منديل,Tissue  ,tissue
item_337,item_256,household,شمعة,Candle ,candle
item_338,item_223,household,كوب,Mug ,mug
item_339,item_239,household,ورقة,Paper ,paper
item_340,item_240,household,مكينة حلاقة,Shaver ,
item_341,item_224,household,فنجان,Cup ,cup
item_342,item_225,household,مفتاح,Key ,key
item_343,item_258,household,سشوار/ استشوار,Hair dryer ,hair dryer
item_344,item_227,household,لهاية/ مصاصة/ كدابة,Pacifier ,pacifier
item_345,,household,زبدية/ سلطانية,Bowl ,bowl
item_346,item_257,household,جهاز التحكم (ريموت),Remote control ,remote control
item_347,item_228,household,ملعقة,Spoon ,spoon
item_348,item_244,household,ممسحة أرض,Floor wiper ,
item_349,item_226,household,مطرقة (شاكوش),Hammer ,hammer
item_350,item_243,household,مقشة/ مكنسة,Broom,broom
item_351,,household,راديو,Radio ,radio
item_352,,household,فانوس,Lantern ,
item_353,item_242,household,تحفة,Decorative accent,
item_354,item_259,household,طاوة/ صاج,Frying pan ,pan
item_355,item_254,household,ساعة,Watch/ clock ,clock
item_356,item_250,household,كيس,Carry bag,bag
item_357,item_241,household,قارورة/ زجاجة,Glass bottle ,bottle
item_358,item_251,household,عطر (كولونيا),Perfume ,perfume
item_359,,household,مصباح/ قنديل,lantern/ lamp ,lamp
item_360,,household,جك/ مغرف,Jug ,jug
item_361,item_218,household,قدر,Pot ,pot
item_362,,household,علبة,Container ,box
item_363,,household,صندوق/ كرتون,Box ,box
item_364,,household,لصق,Tape ,tape
item_365,,household,زجاج,Glass (material),
item_366,item_234,household,محفظة,Wallet ,wallet
item_367,item_231,household,جوال,Phone ,phone
item_368,item_247,household,روج,Lipstick ,
item_369,,household,ولاعة,Lighter ,lighter
item_370,,household,سطل/ دلو/ برميل (ابالدي),Pail ,bucket
item_371,item_249,household,مرتبة (طراحة/ طوالة),Mattress  ,
item_372,,household,قرص مرن ( سي دي),CD,CD
item_373,item_260,furniture_rooms,حمام,Bathroom ,bathroom
item_374,,furniture_rooms,فرن,Stove ,stove
item_375,,furniture_rooms,غسالة,Washing machine ,washing machine
item_376,item_261,furniture_rooms,بانيو,Bathtub ,bathtub
item_377,item_271,furniture_rooms,بوتوجاز,Cooker ,stove
item_378,item_281,furniture_rooms,كومودينو,Side table ,table
item_379,item_262,furniture_rooms,مغسلة (حوض),Sink ,sink
item_380,item_272,furniture_rooms,ثلاجة,Fridge ,refrigerator
item_381,item_282,furniture_rooms,مكنسة كهربائية,Vacuum machine ,vacuum
item_382,,furniture_rooms,كرسي حمام,Toilet seat ,
item_383,,furniture_rooms,غرفة/ دار,Room ,room
item_384,,furniture_rooms,مكيف,Air conditioner ,air conditioner
item_385,item_264,furniture_rooms,غرفة نوم,Bedroom ,bedroom
item_386,item_274,furniture_rooms,دُرج,Drawer ,drawer
item_387,item_284,furniture_rooms,مروحة,Fan ,fan
item_388,item_265,furniture_rooms,سرير,Bed ,bed
item_389,item_275,furniture_rooms,دُش,Shower ,shower
item_390,item_285,furniture_rooms,مرآة (مراية),Mirror ,mirror
item_391,,furniture_rooms,تسريحة,Vanity table ,table
item_392,item_276,furniture_rooms,كرسي,Chair ,chair
item_393,item_286,furniture_rooms,كمبيوتر,Computer  ,computer
item_394,,furniture_rooms,دفاية,Heater ,
item_395,,furniture_rooms,نجفة,Chandeliers ,lamp
item_396,,furniture_rooms,سطوح/ سطح,Rooftop ,roof
item_397,item_268,furniture_rooms,غرفة معيشة/ مجلس/ جلسة,Living room ,living room
item_398,item_278,furniture_rooms,غرفة سفرة/ غرفة الأكل,Dining room ,dining room
item_399,,furniture_rooms,طاولة (طربيزة/ ماصة),Table ,table
item_400,item_269,furniture_rooms,خزانة (دولاب/ كبت),Closet ,closet
item_401,item_267,furniture_rooms,باب,Door ,door
item_402,,furniture_rooms,قصرية,Potty ,potty
item_403,item_289,furniture_rooms,شباك (طاقة),Window ,window
item_404,,furniture_rooms,صالون,Salon ,
item_405,,furniture_rooms,كرسي هزاز,Rocking chair ,rocking chair
item_406,item_279,furniture_rooms,مطبخ,Kitchen ,kitchen
item_407,item_288,furniture_rooms,كنبة,Couch ,couch
item_408,item_287,furniture_rooms,درج/ سلالم,Stairs ,stairs
item_409,,furniture_rooms,بدروم/ قبو,Basement ,basement
item_410,,furniture_rooms,نشافة,Dryer ,dryer
item_411,,furniture_rooms,جراج/ كراج,Garage ,garage
item_412,item_277,furniture_rooms,هندول,Crib ,crib
item_413,,furniture_rooms,بلكونة,Balcony ,balcony
item_414,item_266,furniture_rooms,سكين,Knife ,knife
item_415,,furniture_rooms,نقالة,Stretcher?,
item_416,item_283,furniture_rooms,سفرة,Plastic sheets (used when serving food),tablecloth
item_417,,furniture_rooms,أباجورة,Lamp ,lamp
item_418,item_273,furniture_rooms,غرفة الألعاب,Playroom ,playroom
item_419,,furniture_rooms,طاولة طعام,Dining table ,table
item_420,item_263,furniture_rooms,كرسي أطفال,High chair ,high chair
item_421,,furniture_rooms,بلاعة,Drain,
item_422,item_280,furniture_rooms,سجادة,Mat ,mat
item_423,,furniture_rooms,مكتبة,Library ,library
item_424,,furniture_rooms,ستارة,Curtains ,curtain
item_425,item_270,furniture_rooms,سقف,Roof  ,ceiling
item_426,item_290,outside,حوش,Backyard ,backyard
item_427,item_296,outside,وردة,Flower ,flower
item_428,,outside,حشيش,Grass?,grass
item_429,,outside,حديقة,Garden ,zoo
item_430,item_297,outside,شجرة,Tree ,tree
item_431,item_303,outside,سلّم,Ladder ,stairs
item_432,,outside,بحر,Sea ,sea
item_433,item_298,outside,نخلة,Palm tree ,tree
item_434,,outside,شمس,Sun ,sun
item_435,item_293,outside,مسبح,Swimming pool ,swimming pool
item_436,item_299,outside,نجمة,Star ,star
item_437,item_304,outside,مرجيحة,Swing (noun),swing
item_438,item_294,outside,مطر,Rain  ,rain
item_439,item_300,outside,عصى (عصايا),Stick ,stick
item_440,,outside,زحليقة,Slide ,slide
item_441,,outside,سماء (سما),Sky ,sky
item_442,,outside,حجر/ حصى,Stone ,stone
item_443,,outside,مسجد/ مصلى,Mosque ,church
item_444,item_301,outside,البيت/ البيت,House ,house
item_445,,outside,عمارة/ بيت,Building ,building
item_446,,outside,حضانة,Nursery ,nursery
item_447,,outside,مدرسة,School ,school
item_448,,outside,روضة,Preschool ,preschool
item_449,,outside,بقالة/ دكان,Grocery ,grocery
item_450,item_306,outside,خيمة,Tent ,
item_451,,outside,ميدان (دوار),Roundabout ,
item_452,item_305,outside,حديقة حيوانات,Zoo ,zoo
item_453,item_292,outside,شغل/ عمل,Work ,work (place)
item_454,,outside,سحاب,Clouds ,cloud
item_455,item_295,outside,جدار (جدر/ حيطة/ طوفة),Wall ,wall
item_456,,outside,رصيف,Sidewalk ,sidewalk
item_457,,outside,رياح/ ريح,Winds  ,wind
item_458,,outside,رمل/ تراب,Sand ,sand
item_459,,outside,قمر,Moon ,moon
item_460,,outside,شارع/ طريق,Road ,road
item_461,,outside,جاروف (مجرفة),Shovel ,shovel
item_462,,outside,علم,Flag ,flag
item_463,,outside,خرطوم (لي),Hose ,hose
item_464,,outside,طين,Clay ,clay
item_465,,outside,إشارة مرور,Traffic sign ,
item_466,,outside,مطعم,Restaurant ,restaurant
item_467,,outside,قلعة,Castle ,castle
item_468,item_302,outside,جبل,Mountain ,mountain
item_469,item_291,outside,ملاهي,Theme park ,
item_470,,outside,سوق,Mall ,mall
item_471,,outside,فندق,Hotel ,
item_472,item_307,people,ماما,Mama ,mommy
item_473,item_314,people,ست/ حرمة,Woman/ lady,woman
item_474,item_321,people,خالة,Aunt (maternal aunt),aunt
item_475,item_308,people,بابا,Papa ,daddy
item_476,item_315,people,رجل (رجال),Man ,man
item_477,item_322,people,جد (جدو/ سيدي),Grandfather ,grandpa
item_478,item_309,people,خادمة (دادة/ شغالة),Domestic worker/ dada ,
item_479,item_316,people,اسم حاضنة الطفل (الدادة),The name of the child’s babysitter ,babysitter's name
item_480,item_323,people,جدة (سيتي/ حبابة/تيتة/ستو),Grandmother ,grandma
item_481,item_310,people,بيبي/ نونو,Baby ,baby
item_482,,people,شرطة/ بوليس,Police ,police
